Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 46.0117: (MOVE-UP F44 F18) [D:1.0000; C:1.0000]
 47.0120: (ENTER P6 F18) [D:1.0000; C:1.0000]
 48.0122: (MOVE-DOWN F18 F50) [D:1.0000; C:1.0000]
 49.0125: (EXIT P6 F50) [D:1.0000; C:1.0000]
 50.0127: (MOVE-DOWN F50 F33) [D:1.0000; C:1.0000]
 51.0130: (ENTER P11 F33) [D:1.0000; C:1.0000]
 52.0132: (MOVE-UP F33 F14) [D:1.0000; C:1.0000]
 53.0135: (EXIT P11 F14) [D:1.0000; C:1.0000]
 54.0137: (MOVE-DOWN F14 F36) [D:1.0000; C:1.0000]
 55.0140: (ENTER P12 F36) [D:1.0000; C:1.0000]
 56.0143: (MOVE-DOWN F36 F17) [D:1.0000; C:1.0000]
 57.0145: (EXIT P12 F17) [D:1.0000; C:1.0000]
 58.0148: (MOVE-DOWN F17 F6) [D:1.0000; C:1.0000]
 59.0150: (ENTER P2 F6) [D:1.0000; C:1.0000]
 60.0153: (MOVE-UP F6 F20) [D:1.0000; C:1.0000]
 61.0155: (EXIT P2 F20) [D:1.0000; C:1.0000]
 62.0158: (MOVE-DOWN F20 F12) [D:1.0000; C:1.0000]
 63.0160: (ENTER P4 F12) [D:1.0000; C:1.0000]
 64.0163: (MOVE-DOWN F12 F40) [D:1.0000; C:1.0000]
 65.0165: (EXIT P4 F40) [D:1.0000; C:1.0000]
 66.0167: (MOVE-UP F40 F3) [D:1.0000; C:1.0000]
 67.0170: (ENTER P1 F3) [D:1.0000; C:1.0000]
 68.0173: (MOVE-DOWN F3 F25) [D:1.0000; C:1.0000]
 69.0175: (EXIT P1 F25) [D:1.0000; C:1.0000]
 70.0178: (MOVE-DOWN F25 F39) [D:1.0000; C:1.0000]
 71.0180: (ENTER P13 F39) [D:1.0000; C:1.0000]
 72.0182: (MOVE-UP F39 F22) [D:1.0000; C:1.0000]
 73.0185: (EXIT P13 F22) [D:1.0000; C:1.0000]
 74.0188: (MOVE-DOWN F22 F48) [D:1.0000; C:1.0000]
 75.0190: (ENTER P16 F48) [D:1.0000; C:1.0000]
 76.0192: (MOVE-UP F48 F32) [D:1.0000; C:1.0000]
 77.0195: (EXIT P16 F32) [D:1.0000; C:1.0000]
 78.0198: (MOVE-UP F32 F42) [D:1.0000; C:1.0000]
 79.0200: (ENTER P14 F42) [D:1.0000; C:1.0000]
 80.0202: (MOVE-DOWN F42 F26) [D:1.0000; C:1.0000]
 81.0205: (EXIT P14 F26) [D:1.0000; C:1.0000]


Solution found:
Total time:      3.01
Search time:     0.12
Actions:         82
Execution cost:  82.00
Duration:        82.000
Plan quality:    82.000
     Plan file:       plan.txt_1.SOL
